id,numero,cliente_id,descricao,data_abertura,status,analista_id,grupo_trabalho,complexidade,proposta_status,data_envio_proposta,data_aprovacao,horas_dev,pct_margem,pct_negociado,pct_qa_aplicado,pct_gerencial_aplicado,valor_hora_aplicado,criado_em,atualizado_em,qtd_parcelas,valor_projeto_real,desconto_negociado_real,valor_total_projeto_real
004acb19-468d-448d-ae87-15b9856ce643,18691,20e510ba-1c96-4519-bd31-5ff87bcb61e2,Campanha Selos 2026,2026-01-16,Concluido,4f873c3e-7e48-434a-8f65-02f3b0582863,PDV / Inovação,3,Aprovado,2026-05-15,2026-05-19,190.00,0.1600,0.0592,0.6000,0.3200,162.94,2026-07-24 17:06:28.173943+00,2026-07-25 14:26:00.868754+00,1,69086.56,4086.47,65000.00
0075ba97-d949-4f16-84f1-695ee28e0583,74155,20e510ba-1c96-4519-bd31-5ff87bcb61e2,CRM Sales Force Festval Projeto Time & Material - Mês 03,2021-04-12,Concluido,24887f2b-0a3f-4e8c-b699-fac9ebbea3a7,,,Aprovado,2022-04-14,2022-04-14,0.00,0.0000,0.0000,0.6000,0.2000,162.94,2026-07-24 17:06:27.597938+00,2026-07-25 14:26:00.868754+00,1,5515.77,0.00,5517.77
008e9afc-8d9d-4a14-90ce-e72f9cef38ca,96140,20e510ba-1c96-4519-bd31-5ff87bcb61e2,Integração C5 - Agosto,2023-02-22,Concluido,24887f2b-0a3f-4e8c-b699-fac9ebbea3a7,,,Aprovado,2023-09-06,2023-09-06,0.00,0.0000,0.0000,0.6000,0.2000,152.94,2026-07-24 17:06:27.597938+00,2026-07-25 14:26:00.868754+00,1,9176.40,0.00,9176.40
00aaab0f-ca46-4450-968c-05c0a69bc569,106881,4f9970fc-7e10-4350-8cdb-03c2c57cad8b,Melhoria Polling,2024-01-04,BackLog,,Visual Store,2,,,,0.00,0.0000,0.0000,0.6000,0.2000,152.94,2026-07-24 17:06:28.173943+00,2026-07-25 14:26:00.868754+00,1,39465.86,0.00,42046.34
010ef01b-f8b4-4e3f-9739-0f8c90f3bbdb,104607,d6661814-260f-4b92-9b0d-d619007208d2,Implementação Senha forte,2023-10-23,Encerrado,24887f2b-0a3f-4e8c-b699-fac9ebbea3a7,,,Enviado,2023-10-31,,0.00,0.0000,0.0000,0.6000,0.2000,152.94,2026-07-24 17:06:27.597938+00,2026-07-25 14:26:00.868754+00,1,6117.60,0.00,6117.60
0124c02b-ae9f-45af-9ee5-be8564a6c3e5,102289,b371113f-0789-40f1-9cb3-8cdd1fd32ac9,Integração NSU / autorização,2023-09-04,Concluido,b5f82498-f4af-427d-995d-77f6e9116056,,,Encerrado,2023-11-08,,10.00,0.2000,1.0000,0.7000,0.3400,152.94,2026-07-24 17:06:27.597938+00,2026-07-25 14:26:00.868754+00,1,3743.97,3743.97,0.00
0146aea6-d201-4cf9-96e9-4f7e0e6d193b,2395,610af016-3cf6-49a0-8ebd-c84cffce3f47,Comercialização Kit com Celular no AV,2025-01-21,Enviar Proposta,b5f82498-f4af-427d-995d-77f6e9116056,AV,3,,,,40.00,0.2000,0.0000,0.6000,0.2000,162.94,2026-07-24 17:06:27.597938+00,2026-07-25 14:26:00.868754+00,1,0.00,0.00,0.00
0193c89d-93bc-415c-8f69-700e928f47ab,95294,aebbcea0-4af1-424f-8951-f3941e6cc793,Pedidos representantes,2023-01-25,Encerrado,b5f82498-f4af-427d-995d-77f6e9116056,,,Enviado,2023-08-07,,21.00,0.2000,0.2850,0.6000,0.3200,163.87,2026-07-24 17:06:27.597938+00,2026-07-25 14:26:00.868754+00,1,7928.64,2259.66,5668.98
01c17cdb-e240-45e6-a649-680fa3481073,93239,d6661814-260f-4b92-9b0d-d619007208d2,Operações de Fechamento de Caixa,2022-11-24,Encerrado,4f873c3e-7e48-434a-8f65-02f3b0582863,,,,,,0.00,0.0000,0.0000,0.6000,0.2000,162.94,2026-07-24 17:06:27.597938+00,2026-07-25 14:26:00.868754+00,1,0.00,0.00,0.00
024067d1-a1a8-49db-85eb-ec93e386ef7b,117582,20e510ba-1c96-4519-bd31-5ff87bcb61e2,Relatório de desconto detalhada por desconto,2024-11-12,Encerrado,,Visual Store,1,,,,0.00,0.0000,0.0000,0.6000,0.2000,162.94,2026-07-24 17:06:28.173943+00,2026-07-25 14:26:00.868754+00,1,0.00,0.00,0.00
026bcd5c-2e6b-4e86-92af-10970088698c,99707,b371113f-0789-40f1-9cb3-8cdd1fd32ac9,Texto na impressão do Cupom desconto,2023-06-07,Concluido,,,,Suporte,,,0.00,0.0000,0.0000,0.6000,0.2000,162.94,2026-07-24 17:06:27.597938+00,2026-07-25 14:26:00.868754+00,1,0.00,0.00,0.00
0294ad14-1f3a-4725-8350-7ebebe7dedb6,91527,4f9970fc-7e10-4350-8cdb-03c2c57cad8b,Geração Voucher único,2022-09-28,Encerrado,4f873c3e-7e48-434a-8f65-02f3b0582863,,,,,,0.00,0.0000,0.0000,0.6000,0.2000,162.94,2026-07-24 17:06:27.597938+00,2026-07-25 14:26:00.868754+00,1,0.00,0.00,0.00
02d544a0-b057-478b-a4c1-c7ed37c1c89a,86584,01ff7797-f539-45cb-9e9a-dc195620d23f,Migração de SOAP para API da IZIO,2022-04-12,Concluido,24887f2b-0a3f-4e8c-b699-fac9ebbea3a7,,,Aprovado,2022-05-30,2022-06-15,60.00,0.1000,0.1000,0.6000,0.2000,162.94,2026-07-24 17:06:27.597938+00,2026-07-25 14:26:00.868754+00,1,19357.27,1935.73,14000.00
03557b28-9cb4-432b-b99a-5b88b4797922,88867,4f9970fc-7e10-4350-8cdb-03c2c57cad8b,Melhoria Self,2022-07-04,Concluido,4f873c3e-7e48-434a-8f65-02f3b0582863,,,Equipe Exclusiva,,,20.00,0.2000,0.0000,0.6000,0.2000,162.94,2026-07-24 17:06:27.597938+00,2026-07-25 14:26:00.868754+00,1,7039.01,0.00,0.00
03695b3c-7a72-48d5-abba-5072469f683b,107094,f6728acf-eb1b-4d3b-9723-523554e2c0a4,Melhoria Scanntech,2024-01-12,Encerrado,,,,,,,0.00,0.0000,0.0000,0.6000,0.2000,162.94,2026-07-24 17:06:27.597938+00,2026-07-25 14:26:00.868754+00,1,0.00,0.00,0.00
0393f26b-e9cf-4b6a-b2c7-46c18ccd7dc6,99227,80f9054a-4b42-4362-b04e-47852bd387ab,Pesagem Self - Tara Comparar Peso,2023-05-24,Encerrado,,,,,,,0.00,0.0000,0.0000,0.6000,0.2000,162.94,2026-07-24 17:06:27.597938+00,2026-07-25 14:26:00.868754+00,1,0.00,0.00,0.00
041bcb38-1b20-4a46-9383-e379d9243dc5,102327,265b48f6-1d24-4dd6-a22e-a5f9eab7546a,"Integração E-commerce ",2023-09-05,Encerrado,,,,,,,0.00,0.0000,0.0000,0.6000,0.2000,162.94,2026-07-24 17:06:27.597938+00,2026-07-24 17:06:27.597938+00,1,,,
